no,gender,method,survey,score
1,1,1,1,5.1
2,1,2,0,
3,1,1,1,4.7
4,2,2,0,
5,1,1,1,5.4
6,1,2,1,4.4
7,1,2,0,4.9
8,1,1,1,5.2
9,2,2,1,4.3
10,1,2,1,5.8
11,1,1,1,5.7
12,1,2,0,5.1
13,2,2,1,5.3
14,1,2,0,5.4
15,1,1,1,5.1
16,1,1,1,4.8
17,1,1,1,4.1
18,1,1,1,4.8
19,1,1,1,5.2
20,2,1,1,4.7
21,1,1,1,4.4
22,1,1,1,5.2
23,1,1,1,5.3
24,1,1,0,6.1
25,1,1,1,6.3
26,2,1,1,4.1
27,1,1,1,5.3
28,2,1,1,5.1
29,1,1,1,3.8
30,1,1,1,5.6
31,1,1,0,5.3
32,1,1,0,6.4
33,1,1,1,5.5
34,1,1,0,4.7
35,1,2,1,3.9
36,2,2,1,3.3
37,2,2,1,5.6
38,2,1,1,5.6
39,1,1,1,6.2
40,2,1,1,5.9
41,2,1,0,3.4
42,1,2,1,6.3
43,1,1,0,6.4
44,2,2,1,6.8
45,1,1,0,5.2
46,1,2,1,5.5
47,2,1,0,5.8
48,1,2,0,5.4
49,1,2,1,6.7
50,2,1,1,5.2
