Date,MinTemp,MaxTemp,Rainfall,Sunshine,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
2016-11-01,8,24.3,0,6.3,20,29,1015,7,23.6,No,Yes
2016-11-02,14,26.9,3.6,9.7,17,36,1008.4,3,25.7,Yes,Yes
2016-11-03,13.7,23.4,3.6,3.3,6,69,1007.2,7,20.2,Yes,Yes
2016-11-04,13.3,15.5,39.8,9.1,24,56,1007,7,14.1,Yes,Yes
2016-11-05,7.6,16.1,2.8,10.6,28,49,1018.5,7,15.4,Yes,No
2016-11-06,6.2,16.9,0,8.2,24,57,1021.7,5,14.8,No,No
2016-11-07,6.1,18.2,0.2,8.4,26,47,1022.2,6,17.3,No,No
2016-11-08,8.3,17,0,4.6,24,57,1024.2,7,15.5,No,No
2016-11-09,8.8,19.5,0,4.1,17,48,1022.7,7,18.9,No,Yes
2016-11-10,8.4,22.8,16.2,7.7,6,32,1020.7,1,21.7,Yes,No
2016-11-11,9.1,25.2,0,11.9,9,34,1021.1,2,24,No,No
2016-11-12,8.5,27.3,0.2,12.5,15,35,1019.9,3,26,No,No
2016-11-13,10.1,27.9,0,13,7,29,1017.1,1,27.1,No,No
2016-11-14,12.1,30.9,0,12.4,20,20,1013.1,4,30.7,No,No
2016-11-15,10.1,31.2,0,13.1,20,16,1013.7,1,30.4,No,No
2016-11-16,12.4,32.1,0,11.1,9,22,1012.8,3,30.7,No,No
2016-11-17,13.8,31.2,0,8.4,19,23,1009.8,6,29.8,No,Yes
2016-11-18,11.7,30,1.2,10.1,11,26,1013,5,28.6,Yes,No
2016-11-19,12.4,32.3,0.6,13,17,25,1013.3,3,31.2,No,No
2016-11-20,15.6,33.4,0,10.4,13,27,1013.7,1,32,No,No
2016-11-21,15.3,33.4,0,9.5,31,26,1006.5,5,32.8,No,No
2016-11-22,16.4,19.4,0.4,0,11,72,1008.9,8,18.3,No,Yes
2016-11-23,12.8,18.5,25.8,0.6,13,79,1014.9,8,16.8,Yes,No
2016-11-24,12,24.3,0.4,7.5,9,57,1019.2,5,22.8,No,No
2016-11-25,15.4,28.4,0,8.1,15,31,1018.6,2,27.3,No,No
2016-11-26,15.6,26.9,0,8.9,22,48,1016.5,4,25.1,No,No
2016-11-27,13.3,22.2,0.2,2.3,17,55,1018.6,7,21.2,No,No
2016-11-28,12.9,28,0,10.7,11,31,1014.8,7,26.7,No,No
2016-11-29,15.1,24.3,0,0.4,17,80,1017.1,7,19.7,No,No
2016-11-30,13.6,24.1,0.4,0.5,6,49,1013.3,7,23.2,No,Yes
2016-12-01,15.1,20.4,22.6,0.2,20,90,1014.1,8,16.3,Yes,Yes
2016-12-02,11.6,26.3,4.2,12,9,46,1009.5,2,25.2,Yes,No
2016-12-03,16.6,24.2,0.2,4.7,35,60,1004.6,7,19.9,No,Yes
2016-12-04,13.3,26.5,6.6,11.8,26,40,1006.3,2,25.1,Yes,No
2016-12-05,14.5,21.8,0,9.8,30,63,1015.3,1,20.5,No,No
2016-12-06,16.3,26.8,0,6.3,9,54,1016.1,7,24.5,No,No
2016-12-07,17.2,25.8,0,8.8,6,74,1011.5,7,22.6,No,Yes
2016-12-08,16.5,28.2,4,8.8,13,42,1011.4,1,26.3,Yes,No
2016-12-09,15,29.4,0,11.1,24,24,1008.5,7,28.6,No,No
2016-12-10,14.9,24.8,0,10,6,37,1010.4,7,22.9,No,No
2016-12-11,11.8,18.5,0.6,2.3,15,63,1017.4,6,16.4,No,No
2016-12-12,11.7,21.5,0,7.3,24,51,1019.6,5,19.4,No,No
2016-12-13,9.6,20.3,0,3.6,20,49,1019.3,7,19.2,No,No
2016-12-14,8.9,27.1,0,12.7,11,37,1012.5,2,25,No,No
2016-12-15,10.1,29.9,0,8.8,13,36,1010.2,8,29.1,No,Yes
2016-12-16,15.5,21.1,5.4,0.9,7,86,1008.6,8,20,Yes,Yes
2016-12-17,10.8,21.7,1.4,10.6,20,40,1016.8,4,20.8,Yes,No
2016-12-18,7.5,20.9,0,8.7,20,43,1018.3,7,19.8,No,No
2016-12-19,12.8,21,0,0.8,6,54,1015.6,8,20,No,Yes
2016-12-20,12.6,23.1,3.4,2.3,13,74,1014.1,7,20.4,Yes,Yes
2016-12-21,14.8,29.5,6.4,8.1,22,48,1008.3,7,28.2,Yes,Yes
2016-12-22,19.9,22,11,5.9,30,62,996.8,3,19.6,Yes,Yes
2016-12-23,9.2,20.4,17.4,10.2,20,49,1009.1,7,18.8,Yes,No
2016-12-24,12.4,24.4,0,12.1,13,43,1009.7,4,22.5,No,Yes
2016-12-25,11.3,21.7,3.4,5.6,11,52,1019.1,3,21,Yes,No
2016-12-26,9.8,26.3,0,13,19,35,1018,1,23.9,No,No
