height,weight,label
180,69,normal
192,79,normal
159,83,fat
150,82,fat
180,70,normal
191,93,fat
194,64,thin
185,35,thin
192,53,thin
178,82,fat
160,78,fat
163,42,thin
186,60,thin
154,100,fat
193,78,normal
193,86,normal
155,37,thin
153,100,fat
164,46,thin
177,91,fat
157,89,fat
158,75,fat
189,55,thin
194,41,thin
185,56,thin
182,45,thin
175,88,fat
192,95,fat
180,84,fat
184,38,thin
191,45,thin
162,68,fat
172,81,fat
194,84,normal
193,74,normal
157,67,fat
165,77,fat
173,82,fat
182,99,fat
161,38,thin
174,90,fat
152,38,thin
164,89,fat
152,84,fat
163,48,thin
198,63,thin
161,44,thin
194,70,normal
152,90,fat
167,98,fat
172,41,thin
182,93,fat
173,61,normal
171,71,fat
179,95,fat
194,96,fat
165,56,normal
179,81,fat
161,59,normal
199,63,thin
188,35,thin
167,78,fat
161,65,fat
200,36,thin
182,40,thin
165,49,thin
173,99,fat
159,38,thin
170,70,fat
190,50,thin
164,99,fat
180,97,fat
190,80,normal
166,91,fat
197,55,thin
178,72,normal
189,40,thin
167,77,fat
182,91,fat
195,62,thin
196,71,thin
183,67,normal
151,35,thin
194,38,thin
158,69,fat
176,52,thin
165,60,normal
177,95,fat
153,68,fat
198,40,thin
176,90,fat
187,46,thin
175,60,normal
187,79,normal
173,84,fat
186,55,thin
151,54,normal
151,39,thin
154,88,fat
184,60,thin
200,83,normal
200,47,thin
195,80,normal
162,74,fat
167,97,fat
189,50,thin
163,85,fat
187,66,normal
154,87,fat
172,76,fat
155,77,fat
159,46,thin
196,74,normal
169,58,normal
198,90,normal
173,57,normal
151,61,fat
181,91,fat
181,57,thin
153,78,fat
179,65,normal
170,47,thin
164,35,thin
173,81,fat
167,60,normal
194,90,normal
168,63,normal
183,53,thin
182,77,normal
160,99,fat
179,84,fat
188,99,fat
195,66,thin
179,93,fat
200,41,thin
199,64,thin
176,85,fat
183,91,fat
192,41,thin
156,74,fat
172,37,thin
170,98,fat
173,74,fat
160,52,normal
180,63,normal
184,52,thin
166,98,fat
152,89,fat
173,71,normal
176,71,normal
174,76,fat
159,51,normal
166,39,thin
192,83,normal
176,89,fat
189,68,normal
171,87,fat
199,83,normal
181,84,fat
175,58,normal
160,61,normal
166,49,thin
167,41,thin
191,80,normal
197,74,normal
199,52,thin
169,62,normal
197,38,thin
185,74,normal
152,36,thin
160,60,normal
160,60,normal
195,72,normal
162,58,normal
199,74,normal
184,37,thin
188,48,thin
173,98,fat
184,60,thin
178,47,thin
183,35,thin
191,51,thin
175,99,fat
181,72,normal
179,80,fat
190,84,normal
176,38,thin
195,70,thin
151,54,normal
181,81,fat
194,48,thin
193,89,normal
185,86,fat
188,82,normal
198,44,thin
158,79,fat
153,64,fat
156,89,fat
155,42,thin
150,66,fat
151,49,normal
193,38,thin
187,64,thin
187,95,fat
190,61,thin
179,78,fat
177,75,normal
165,85,fat
155,78,fat
153,81,fat
159,73,fat
157,97,fat
188,52,thin
192,70,normal
150,60,fat
164,50,normal
180,90,fat
196,78,normal
175,75,fat
171,83,fat
198,97,fat
171,59,normal
189,81,normal
154,64,fat
171,84,fat
167,51,thin
184,91,fat
197,70,thin
166,78,fat
176,48,thin
157,98,fat
161,81,fat
185,54,thin
188,70,normal
174,77,fat
169,82,fat
172,77,fat
182,93,fat
154,57,fat
189,86,fat
163,76,fat
189,81,normal
189,79,normal
159,72,fat
171,77,fat
192,85,normal
152,77,fat
191,44,thin
192,47,thin
166,55,normal
181,46,thin
193,74,normal
160,91,fat
164,71,fat
154,64,fat
162,60,normal
167,50,thin
190,62,thin
187,58,thin
180,74,normal
179,51,thin
180,85,fat
178,94,fat
174,81,fat
167,60,normal
165,97,fat
182,78,normal
172,86,fat
169,52,thin
151,44,normal
192,72,normal
174,72,normal
180,54,thin
194,88,normal
186,75,normal
161,68,fat
177,87,fat
153,53,normal
153,92,fat
157,74,fat
165,55,normal
163,50,normal
199,83,normal
182,97,fat
169,46,thin
162,53,normal
164,83,fat
183,67,normal
183,81,fat
200,59,thin
158,61,fat
198,48,thin
200,65,thin
166,39,thin
184,91,fat
156,97,fat
189,58,thin
186,42,thin
177,73,normal
151,98,fat
174,80,fat
175,45,thin
154,93,fat
185,86,fat
184,36,thin
